dataset,depth,approach,optimizer,learning_rate,run_idx,seed,test_acc,test_ce,val_acc,val_ce
car,4,sampler,sgd,0.001,2,1318,0.7341040372848511,1.2959376573562622,0.7398843765258789,1.2952313423156738
car,4,sampler,sgd,0.001,3,1360,0.7341040372848511,1.2985641956329346,0.7398843765258789,1.2953733205795288
car,4,sampler,sgd,0.001,4,1402,0.7225433588027954,1.3012356758117676,0.7052022814750671,1.2983485460281372
car,4,sampler,sgd,0.001,5,1444,0.7167630195617676,1.2993791103363037,0.710982620716095,1.2978979349136353
car,4,sampler,sgd,0.005,1,1276,0.7283236980438232,1.2967840433120728,0.7283236980438232,1.294480562210083
car,4,sampler,sgd,0.005,2,1318,0.7341040372848511,1.295646071434021,0.7398843765258789,1.2949542999267578
car,4,sampler,sgd,0.005,3,1360,0.7283236980438232,1.298467755317688,0.7283236980438232,1.2952848672866821
car,4,sampler,sgd,0.005,4,1402,0.7225433588027954,1.3011971712112427,0.7052022814750671,1.2982996702194214
car,4,sampler,sgd,0.005,5,1444,0.7167630195617676,1.2993369102478027,0.710982620716095,1.2978755235671997
car,4,sampler,sgd,0.01,1,1276,0.7283236980438232,1.2966794967651367,0.7283236980438232,1.2943756580352783
car,4,sampler,sgd,0.01,2,1318,0.7225433588027954,1.2951887845993042,0.7283236980438232,1.294517159461975
car,4,sampler,sgd,0.01,3,1360,0.7283236980438232,1.2983505725860596,0.7283236980438232,1.2951762676239014
car,4,sampler,sgd,0.01,4,1402,0.7225433588027954,1.3010964393615723,0.7052022814750671,1.2981871366500854
car,4,sampler,sgd,0.01,5,1444,0.7052022814750671,1.2992841005325317,0.7225433588027954,1.2978460788726807
car,4,sampler,sgd,0.05,1,1276,0.7283236980438232,1.2936923503875732,0.7283236980438232,1.2914783954620361
car,4,sampler,sgd,0.05,2,1318,0.7398843765258789,1.284386396408081,0.7398843765258789,1.2840673923492432
car,4,sampler,sgd,0.05,3,1360,0.7283236980438232,1.297498106956482,0.7283236980438232,1.2943419218063354
car,4,sampler,sgd,0.05,4,1402,0.7341040372848511,1.2938495874404907,0.7225433588027954,1.2915983200073242
car,4,sampler,sgd,0.05,5,1444,0.710982620716095,1.2987686395645142,0.7225433588027954,1.2974684238433838
car,4,sampler,sgd,0.1,1,1276,0.7456647157669067,1.2795321941375732,0.7456647157669067,1.2777074575424194
car,4,sampler,sgd,0.1,2,1318,0.7630057334899902,1.27984619140625,0.7456647157669067,1.2797449827194214
car,4,sampler,sgd,0.1,3,1360,0.7341040372848511,1.2955557107925415,0.7283236980438232,1.2923983335494995
car,4,sampler,sgd,0.1,4,1402,0.7630057334899902,1.2758296728134155,0.7687861323356628,1.2717138528823853
car,4,sampler,sgd,0.1,5,1444,0.710982620716095,1.291496753692627,0.7225433588027954,1.2903960943222046
car,6,ffnn_0layer,adam,0.001,1,1276,0.7341040372848511,1.271685004234314,0.7572253942489624,1.2632114887237549
